lr: 0.0001, batchsize: 128, steps: 50000, thresh: 0.06, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 1, test_loss: 10.722
lr: 1e-05, batchsize: 128, steps: 100000, thresh: 0.06, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.992188, test_loss: 0.262989
lr: 1e-05, batchsize: 128, steps: 100000, thresh: 0.06, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.992188, test_loss: 0.262989
lr: 0.0001, batchsize: 128, steps: 50000, thresh: 0.1, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.993, test_loss: 0.0759131
lr: 0.0001, batchsize: 128, steps: 50000, thresh: 0.1, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.992, test_loss: 0.23402
lr: 0.0001, batchsize: 128, steps: 50000, thresh: 0.1, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.995, test_loss: 0.597132
lr: 1e-05, batchsize: 128, steps: 100000, thresh: 0.06, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 1, test_loss: 0.193236
lr: 1e-05, batchsize: 128, steps: 100000, thresh: 0.06, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.953125, test_loss: 0.495151
lr: 1e-05, batchsize: 128, steps: 30000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.9375, test_loss: 0.804117
lr: 1e-05, batchsize: 128, steps: 60800, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 1, test_loss: 0.15869
lr: 1e-05, batchsize: 128, steps: 30000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.986, test_loss: 0.108443
lr: 1e-05, batchsize: 128, steps: 30000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.985, test_loss: 0.10869
lr: 1e-05, batchsize: 128, steps: 30000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.982, test_loss: 0.13933
lr: 1e-05, batchsize: 128, steps: 30000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.977, test_loss: 0.119058
lr: 1e-05, batchsize: 128, steps: 30000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.977, test_loss: 0.138872
lr: 1e-05, batchsize: 128, steps: 30000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.979, test_loss: 0.0991665
lr: 1e-05, batchsize: 128, steps: 30000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.988, test_loss: 0.107192
lr: 1e-05, batchsize: 128, steps: 30000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.977, test_loss: 0.161865
lr: 1e-05, batchsize: 128, steps: 30000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.960938, test_loss: 0.258519
lr: 1e-05, batchsize: 128, steps: 15000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.992188, test_loss: 0.148801
lr: 1e-05, batchsize: 128, steps: 15000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.976562, test_loss: 4.69827
lr: 1e-05, batchsize: 128, steps: 15000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.992188, test_loss: 1.04547
lr: 1e-05, batchsize: 128, steps: 15000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.9375, test_loss: 4.79936
lr: 1e-05, batchsize: 128, steps: 15000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.96875, test_loss: 7.08412
lr: 1e-05, batchsize: 128, steps: 30600, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.960938, test_loss: 0.451641
lr: 1e-05, batchsize: 128, steps: 52700, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.960938, test_loss: 0.268703
lr: 1e-05, batchsize: 128, steps: 30000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.976562, test_loss: 0.372321
lr: 1e-05, batchsize: 128, steps: 54300, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.992188, test_loss: 0.165102
lr: 1e-05, batchsize: 128, steps: 30000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.945312, test_loss: 0.670803
lr: 1e-05, batchsize: 128, steps: 39900, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.984375, test_loss: 0.150095
lr: 1e-05, batchsize: 128, steps: 30000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.929688, test_loss: 0.771503
lr: 1e-05, batchsize: 128, steps: 51900, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 1, test_loss: 0.112227
lr: 1e-05, batchsize: 128, steps: 30400, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.84375, test_loss: 1.9786
lr: 1e-05, batchsize: 128, steps: 47500, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.976562, test_loss: 0.273174
lr: 1e-05, batchsize: 128, steps: 30000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 1, test_loss: 0.109555
lr: 1e-05, batchsize: 128, steps: 53400, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.976562, test_loss: 0.153235
lr: 1e-05, batchsize: 128, steps: 30000, thresh: 0.06, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.625, test_loss: 6.28203
lr: 1e-05, batchsize: 128, steps: 50300, thresh: 0.06, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.960938, test_loss: 6.38765
lr: 1e-05, batchsize: 128, steps: 30000, thresh: 0.06, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.96875, test_loss: 0.580741
lr: 1e-05, batchsize: 128, steps: 50000, thresh: 0.06, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.992188, test_loss: 0.355599
lr: 1e-05, batchsize: 128, steps: 30000, thresh: 0.06, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.992188, test_loss: 0.267978
lr: 1e-05, batchsize: 128, steps: 30200, thresh: 0.06, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.984375, test_loss: 0.302679
lr: 1e-05, batchsize: 128, steps: 50200, thresh: 0.06, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.984375, test_loss: 0.514761
lr: 1e-05, batchsize: 128, steps: 30000, thresh: 0.06, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.992188, test_loss: 0.401503
lr: 1e-05, batchsize: 128, steps: 50000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.984375, test_loss: 9.16329
lr: 1e-05, batchsize: 128, steps: 30000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.992188, test_loss: 6.75032
lr: 1e-05, batchsize: 128, steps: 30000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.984375, test_loss: 0.209211
lr: 1e-05, batchsize: 128, steps: 42300, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.992188, test_loss: 0.225124
lr: 1e-05, batchsize: 128, steps: 30000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.867188, test_loss: 1.94486
lr: 1e-05, batchsize: 128, steps: 40000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.976562, test_loss: 0.309915
lr: 1e-05, batchsize: 128, steps: 30000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.984375, test_loss: 6.90454
lr: 1e-05, batchsize: 128, steps: 30000, thresh: 0.03, c1: 1, c2: 1, c3: 0.0003, c4: 1e-06, test_acc: 0.992188, test_loss: 7.68801
